C,bits,H(M),H(M1|M0),S_info=-H(M1|M0),R_info,L(M) proxy,F(C),distinct macrostates
Global majority sign,1,0.9906049558738163,0.565889485225838,-0.565889485225838,4.243792800587017,2.0,2.677903315361179,2
Block-majority (8),8,7.555812823933733,2.9935111440471815,-2.9935111440471815,4.787787646018348,16.0,-6.205723498028833,256
Random hash (8 bits),8,7.987923169000662,5.6043161553435805,-5.6043161553435805,4.854279695469364,16.0,-8.750036459874217,256
